id;nome;sintoma;precaucoes;socorro;obs
1;Strategist Forward Mesa;Marginal;Borracha adapter;Upgradable;generation Fresco
2;Pará Applications 1080p;Algodão;Computador Berkshire;Eletrônicos rosa;XSS Esportes workforce
3;system Corporate;marca Ergonômico metrics;mobile;violeta niches Fresco;optical solutions transform
4;Kuwaiti Officer Hungria;preto zero;Advanced bluetooth;Dollar transmitting Strategist;Carro Up-sized applications
5;Tactics Macio Aço;THX Prático Associate;Product;Tunisian Cambridgeshire Saúde;Engineer Rua São
6;withdrawal;Paraíba Rústico Forint;static benchmark;application;Alagoas Ilhas
7;Computadores Stand-alone Koruna;Communications Avon Franc;Coordinator connect CSS;generating Bola;Tocantins Avon Rodovia
8;Berkshire bi-directional;Salsicha;Alagoas e-tailers Dollar;functionalities roxo;bypass USB Face
9;National;Aço auxiliary toolset;Front-line prata;static;ADP withdrawal bronze
10;B2B Liaison;neural;calculate;applications input transmit;Aço sexy
