id;data_cadastro;data_admissao;data_recisao;salario;ativo;obs
1;2022-09-15;2022-09-15;2022-09-15;54287;true;connect
2;2022-09-15;2022-09-15;2022-09-15;16366;true;redundant
3;2022-09-15;2022-09-15;2022-09-15;21632;true;Casa
4;2022-09-15;2022-09-15;2022-09-15;6432;true;core
5;2022-09-15;2022-09-15;2022-09-15;66453;true;deposit
6;2022-09-15;2022-09-15;2022-09-15;87572;false;Product Brazilian
7;2022-09-15;2022-09-15;2022-09-15;5827;true;e-markets
8;2022-09-15;2022-09-15;2022-09-15;82154;false;Fresco
9;2022-09-15;2022-09-15;2022-09-15;41583;true;Brinquedos
10;2022-09-15;2022-09-15;2022-09-15;30308;true;marrom
