id;cep;logradouro;complemento;numero;bairro;cidade;uf
1;Calças Ala;XML payment Associate;deposit;Santo Sala;Ngultrum Sergipe incremental;Rústico;Hu
2;JaneiroX;Cambridgeshire optical;Brunei Minas;clicks-and;methodology;AI;Ma
3;Cambridges;Future-proofed global;Inteligente Camiseta;asynchrono;Calças marrom;tangible Arábia success;bu
4;bypass Bor;Saudi haptic Feito;Macao;services;Nauru JBOD;global;pr
5;sensor Par;Calças Account Dinar;Rodovia wireless;Internatio;hard Finlândia;Object-based Lustroso;Su
6;feed gener;quantifying;services;Communicat;panel navigating Carro;Proactive;sa
7;matrix Don;Infrastructure primary parse;firewall ability hub;Concreto R;Marketing B2B incentivize;web-enabled pele;au
8;Alameda pr;Customer Data;database hard Turismo;generate A;invoice;invoice;Gr
9;cinza Mark;Pula;Algodão GB;navigate;Sapatos connect;Re-contextualized virtual Implementation;do
10;DollarXX;Travessa Kyat circuit;Global Bélgica;Marketing ;synergize;deposit Investment;Co
