id;nome;descricao;ativo;obs
1;Director compelling Bolívia;Engineer Rodovia;true;Eletrônicos
2;panel Bola Marginal;Alagoas Macio;false;synergize Markets
3;Sergipe;Jogos Money;false;Refinado Producer
4;RSS Buckinghamshire Esportes;Metrics;false;Bebê
5;Rua;cross-platform web-readiness Kwacha;true;SDR Cadeira Goiás
6;Account;synthesizing Savings;true;multi-byte
7;system grow;à Bedfordshire;false;online Saúde Música
8;Cambridgeshire bluetooth;Alameda;true;solid bus
9;heuristic;program mão bandwidth;false;Account pixel bus
10;Tailândia;services Personal Engineer;true;Rústico Malawi overriding
