id;data;titulo;conteudo;tipo_id
1;2022-06-23;Regional;THX Concreto transmit;1
2;2022-06-22;Omani;infrastructure Sapatos Switchable;2
3;2022-06-22;bordô;Crianças Mouse National;3
4;2022-06-22;pele Granito Nakfa;B2B Berkshire;4
5;2022-06-22;zero;B2B Cambridgeshire;5
6;2022-06-23;hack Chief parsing;Facilitator Sabonete;6
7;2022-06-22;Avon scalable Ceará;jade open-source;7
8;2022-06-23;Functionality partnerships;Eritreia Taka;8
9;2022-06-22;Costa Borders Persevering;Avon Rua;9
10;2022-06-22;Mobility;hacking sensor calculate;10
