id;nome;data_inicio;data_fim;hora_inicio;hora_fim;obs
1;Research;2022-09-15;2022-09-15;Sri;Compu;visualize Rodovia
2;redefine;2022-09-15;2022-09-15;Syner;Calça;Jamaica Sudanese
3;HDD Minas;2022-09-15;2022-09-15;Aço;recon;Creative Account
4;Metrics Configuration;2022-09-15;2022-09-15;Inves;conve;Triple-buffered
5;Lindo;2022-09-15;2022-09-15;bus;Accou;Corporate
6;Public-key Internal;2022-09-15;2022-09-15;Berks;hapti;Incrível Roraima Front-line
7;disintermediate;2022-09-15;2022-09-15;conte;New;target Account
8;Metal Loan;2022-09-15;2022-09-15;navig;Imple;Malawi
9;Account Money benchmark;2022-09-15;2022-09-15;hard;Concr;repurpose Alagoas transmit
10;copy;2022-09-15;2022-09-15;Integ;stick;incubate
