id;nome;descricao;unidade;peso
1;Specialist;São Strategist Consultant;Anguila;Bicicleta vermelho p
2;time-frame Montenegro 1080p;Fantástico infomediaries;parse syndicate Bele;Centralized Avon
3;parse Customer client-driven;bypass dourado;toolset;Aço
4;açafrão programming;transmitting;Rodovia Incrível pro;connecting
5;invoice one-to-one Won;revolutionize Moroccan Product;benchmark indexing i;system
6;açafrão superstructure;Metal Sul China;grená;application
7;turquesa Iraqi;Web architecture;Alameda Macio;Configuration
8;Regional Integration payment;Aço;vortals collaborativ;Buckinghamshire
9;Auto blockchains;Aço Berkshire;help-desk THX infras;Travessa Esportes
10;migration;cohesive;Account Bacon;collaborative
