id;codigo;nome;descricao
1;Inteligente ROI;marca;e-enable open-source
2;Rodovia Pre-emptive ;mesh bypassing;solution-oriented
3;Travessa;Mobility incentivize Future;Personal
4;calculating capacito;Bebê implementation;Salsicha Alameda Atum
5;parsing reinvent;Account cross-media limão;Macio Rodovia alarm
6;Specialist Vision-or;Buckinghamshire;compressing frictionless copy
7;viral Uganda neural;navigating Branding Genérico;Santa
8;navigating bandwidth;XML Pará;Esportes copy
9;generating;withdrawal Leoa transmitting;cutting-edge compressing Filmes
10;Architect Áustria Me;port;Plástico
